"","Name","Funding","Apps","Accepted","Enrolled","Top10","FTUG","Tuition","RmBrd","PhD","SFRatio","Alumni","Spending","Gradrate","StdScore","Region","Acceptance_Rate","cApps","cTop10","cTuition","cAlumni","cSpending","cStdScore"
"1","Alaska Pacific University","Private",193,146,55,16,249,7560,4120,76,11.9,2,10922,15,-0.394683191,"West",0.756476683937824,-2774.8137829912,-10.8782991202346,-2591.55278592375,-19.9032258064516,1566.22434017595,-0.588962253822581
"2","University of Montevallo","Public",1351,892,570,18,2385,4440,3030,72,18.9,8,5883,51,-0.434299249,"South",0.660251665433013,-1616.8137829912,-8.8782991202346,-5711.55278592375,-13.9032258064516,-3472.77565982405,-0.628578311822581
"3","Auburn University-Main Campus","Public",7548,6791,3070,25,16262,6300,3933,85,16.7,18,6642,69,0.801329567,"South",0.899708532061473,4580.1862170088,-1.8782991202346,-3851.55278592375,-3.90322580645161,-2713.77565982405,0.607050504177419
"4","Birmingham-Southern College","Private",805,588,287,67,1376,11660,4325,74,14,34,8649,72,1.286046708,"South",0.730434782608696,-2162.8137829912,40.1217008797654,1508.44721407625,12.0967741935484,-706.775659824047,1.09176764517742
"5","Huntingdon College","Private",608,520,127,26,538,8080,3920,63,11.4,9,7703,44,0.134136354,"South",0.855263157894737,-2359.8137829912,-0.878299120234605,-2071.55278592375,-12.9032258064516,-1652.77565982405,-0.0601427088225806
"6","Judson College","Private",313,228,137,10,552,5780,3600,70,17.9,27,5159,43,-0.046687169,"South",0.728434504792332,-2654.8137829912,-16.8782991202346,-4371.55278592375,5.09677419354839,-4196.77565982405,-0.240966231822581
"7","University of Mobile","Private",452,331,269,17,1417,6150,3680,59,16.6,4,5412,52,-0.046687169,"South",0.732300884955752,-2515.8137829912,-9.8782991202346,-4001.55278592375,-17.9032258064516,-3943.77565982405,-0.240966231822581
"8","University of Alabama at Birmingham","Public",1797,1260,938,24,6960,4440,5175,96,6.7,16,16352,33,-0.434299249,"South",0.701168614357262,-1170.8137829912,-2.8782991202346,-5711.55278592375,-5.90322580645161,6996.22434017595,-0.628578311822581
"9","Arkansas College (Lyon College)","Private",708,334,166,46,530,8644,3922,79,12.6,24,14579,54,1.11614907,"South",0.471751412429379,-2259.8137829912,19.1217008797654,-1507.55278592375,2.09677419354839,5223.22434017595,0.921870007177419
"10","Arkansas Tech University","Public",1734,1729,951,12,3602,3460,2650,57,19.6,5,4739,48,-0.434299249,"South",0.997116493656286,-1233.8137829912,-14.8782991202346,-6691.55278592375,-16.9032258064516,-4616.77565982405,-0.628578311822581
"11","Hendrix College","Private",823,721,274,52,954,8800,3195,82,13.1,26,8588,63,1.241540222,"South",0.876063183475091,-2144.8137829912,25.1217008797654,-1351.55278592375,4.09677419354839,-767.775659824047,1.04726115917742
"12","John Brown University","Private",605,405,284,24,961,6398,3672,68,13.3,19,8118,75,0.271701857,"South",0.669421487603306,-2362.8137829912,-2.8782991202346,-3753.55278592375,-2.90322580645161,-1237.77565982405,0.0774227941774193
"13","Harding University","Private",1721,1068,806,35,3128,5504,3528,71,17.7,37,6466,73,0.574751091,"South",0.620569436374201,-1246.8137829912,8.1217008797654,-4647.55278592375,15.0967741935484,-2889.77565982405,0.380472028177419
"14","Arizona State University Main campus","Public",12809,10308,3761,24,22593,7434,4850,88,18.9,5,4602,48,0.194827017,"West",0.804746662502928,9841.1862170088,-2.8782991202346,-2717.55278592375,-16.9032258064516,-4753.77565982405,0.000547954177419346
"15","Northern Arizona University","Public",5891,4931,1973,23,11249,6746,3728,78,21.7,7,6157,41,-0.140590571,"West",0.837039551858768,2923.1862170088,-3.8782991202346,-3405.55278592375,-14.9032258064516,-3198.77565982405,-0.334869633822581
"16","California Institute of Technology","Private",1916,507,210,98,912,16695,5051,100,6.5,36,62469,83,3.576879683,"West",0.264613778705637,-1051.8137829912,71.1217008797654,6543.44721407625,14.0967741935484,53113.224340176,3.38260062017742
"17","California Lutheran University","Private",563,247,247,23,1427,12950,5300,72,12.4,17,8985,60,-0.366764965,"West",0.438721136767318,-2404.8137829912,-3.8782991202346,2798.44721407625,-4.90322580645161,-370.775659824047,-0.561044027822581
"18","California Polytechnic-San Luis","Public",7811,3817,1650,47,12911,7380,4877,72,19.8,13,8453,59,-0.079495825,"West",0.488669824606324,4843.1862170088,20.1217008797654,-2771.55278592375,-8.90322580645161,-902.775659824047,-0.273774887822581
"19","San Diego State University","Public",9402,7020,2151,20,16407,8384,5110,87,19.5,7,7930,41,-0.884254542,"West",0.746649649010849,6434.1862170088,-6.8782991202346,-1767.55278592375,-14.9032258064516,-1425.77565982405,-1.07853360482258
"20","Sonoma State University","Public",2726,982,557,47,4239,7830,5189,79,16.1,1,7304,40,-0.023255288,"West",0.360234776228907,-241.813782991203,20.1217008797654,-2321.55278592375,-20.9032258064516,-2051.77565982405,-0.217534350822581
"21","Chapman University","Private",959,771,351,23,1662,16624,5895,72,12.8,6,12692,47,-0.067761775,"West",0.803962460896767,-2008.8137829912,-3.8782991202346,6472.44721407625,-15.9032258064516,3336.22434017595,-0.262040837822581
"22","Claremont McKenna College","Private",1860,767,227,71,887,17000,6010,99,9.6,52,18443,87,2.361486306,"West",0.412365591397849,-1107.8137829912,44.1217008797654,6848.44721407625,30.0967741935484,9087.22434017595,2.16720724317742
"23","Harvey Mudd College","Private",1377,572,178,95,654,17230,6690,100,8.2,46,21569,100,3.253196146,"West",0.415395787944808,-1590.8137829912,68.1217008797654,7078.44721407625,24.0967741935484,12213.224340176,3.05891708317742
"24","Pitzer College","Private",1133,630,220,37,750,17688,5900,100,10.4,11,14820,73,1.488348919,"West",0.556045895851721,-1834.8137829912,10.1217008797654,7536.44721407625,-10.9032258064516,5464.22434017595,1.29406985617742
"25","Pomona College","Private",3037,1130,390,80,1500,17720,7220,94,8.9,47,20682,91,3.226127521,"West",0.372077708264735,69.1862170087975,53.1217008797654,7568.44721407625,25.0967741935484,11326.224340176,3.03184845817742
"26","Scripps College","Private",855,632,139,60,569,17238,7350,95,8.2,41,18372,73,1.488348919,"West",0.739181286549708,-2112.8137829912,33.1217008797654,7086.44721407625,19.0967741935484,9016.22434017595,1.29406985617742
"27","University of La Verne","Private",1597,969,226,16,1431,13540,5050,66,14.1,23,10139,47,-0.286248163,"West",0.606762680025047,-1370.8137829912,-10.8782991202346,3388.44721407625,1.09677419354839,783.224340175953,-0.480527225822581
"28","Mount St. Mary's College","Private",657,537,113,37,1039,12474,5678,53,11.9,19,10613,72,-0.200877151,"West",0.817351598173516,-2310.8137829912,10.1217008797654,2322.44721407625,-2.90322580645161,1257.22434017595,-0.395156213822581
"29","Occidental College","Private",2324,1319,370,52,1686,16560,5140,91,10.5,30,16196,79,0.906490498,"West",0.567555938037866,-643.813782991203,25.1217008797654,6408.44721407625,8.09677419354839,6840.22434017595,0.712211435177419
"30","Pacific Christian College","Private",167,142,89,9,414,6500,3000,38,10.7,6,5612,67,-0.298386295,"West",0.850299401197605,-2800.8137829912,-17.8782991202346,-3651.55278592375,-15.9032258064516,-3743.77565982405,-0.492665357822581
"31","Fresno Pacific College","Private",346,274,146,51,704,9900,3670,59,10.5,14,8095,54,0.13858648,"West",0.791907514450867,-2621.8137829912,24.1217008797654,-251.552785923754,-7.90322580645161,-1260.77565982405,-0.0556925828225806
"32","Pacific Union College","Private",940,668,385,20,1316,11925,3825,48,12.3,12,9157,69,-0.046687169,"West",0.71063829787234,-2027.8137829912,-6.8782991202346,1773.44721407625,-9.90322580645161,-198.775659824047,-0.240966231822581
"33","Point Loma Nazarene College","Private",809,687,428,20,1889,10178,4190,71,16.1,19,7895,54,-0.504330468,"West",0.849196538936959,-2158.8137829912,-6.8782991202346,26.4472140762464,-2.90322580645161,-1460.77565982405,-0.698609530822581
"34","Pepperdine University","Private",3821,2037,680,86,2488,18200,6770,95,11.6,13,16185,66,1.088194624,"West",0.533106516618686,853.186217008797,59.1217008797654,8048.44721407625,-8.90322580645161,6829.22434017595,0.893915561177419
"35","Southern California College","Private",385,340,193,18,784,9520,4124,63,18.6,11,8219,43,-0.455777937,"West",0.883116883116883,-2582.8137829912,-8.8782991202346,-631.552785923754,-10.9032258064516,-1136.77565982405,-0.650056999822581
"36","St. Mary's College of California","Private",2643,1611,465,36,2615,13332,6354,88,16.1,17,9619,78,0.518070253,"West",0.609534619750284,-324.813782991203,9.1217008797654,3180.44721407625,-4.90322580645161,263.224340175953,0.323791190177419
"37","University of California at Berkeley","Public",19873,8252,3215,95,19532,11648,6246,93,15.8,10,13919,78,2.023198703,"West",0.415236753383988,16905.1862170088,68.1217008797654,1496.44721407625,-11.9032258064516,4563.22434017595,1.82891964017742
"38","University of California at Irvine","Public",15698,10775,2478,85,12677,12024,5302,96,16.1,11,15934,66,0.493793987,"West",0.686393171104599,12730.1862170088,58.1217008797654,1872.44721407625,-10.9032258064516,6578.22434017595,0.299514924177419
"39","University of California at Los Angeles","Public",22165,10435,3591,93,21637,7689,5580,97,11.8,9,20260,77,1.400107893,"West",0.47078727723889,19197.1862170088,66.1217008797654,-2462.55278592375,-12.9032258064516,10904.224340176,1.20582883017742
"40","University of California at Riverside","Public",9798,7566,1470,80,6922,7699,5430,98,13.4,8,12528,62,0.227195371,"West",0.772198407838334,6830.1862170088,53.1217008797654,-2452.55278592375,-13.9032258064516,3172.22434017595,0.0329163081774194
"41","University of California at San Diego","Public",19433,11469,2481,95,13738,7699,6607,100,13.9,6,17674,66,1.411474079,"West",0.590181649771008,16465.1862170088,68.1217008797654,-2452.55278592375,-15.9032258064516,8318.22434017595,1.21719501617742
"42","University of California at Santa Barbara","Public",16663,14141,3239,90,15638,11218,5990,96,18.9,6,9475,69,0.307675953,"West",0.8486467022745,13695.1862170088,63.1217008797654,1066.44721407625,-15.9032258064516,119.224340175953,0.113396890177419
"43","University of California at Santa Cruz","Public",10758,8559,1717,94,8713,7699,6081,94,21.3,10,10860,59,0.736556641,"West",0.795593976575572,7790.1862170088,67.1217008797654,-2452.55278592375,-11.9032258064516,1504.22434017595,0.542277578177419
"44","University of San Francisco","Private",2306,1721,538,23,4309,13226,6452,86,13.6,8,10074,62,-0.18064693,"West",0.746313963573287,-661.813782991203,-3.8782991202346,3074.44721407625,-13.9032258064516,718.224340175953,-0.374925992822581
"45","University of Southern California","Private",12229,8498,2477,45,13259,17230,6482,90,11.4,10,17007,68,1.051780226,"West",0.694905552375501,9261.1862170088,18.1217008797654,7078.44721407625,-11.9032258064516,7651.22434017595,0.857501163177419
"46","University of the Pacific","Private",2459,1997,582,36,2664,16320,5326,87,11.2,14,13706,65,0.056821212,"West",0.812118747458316,-508.813782991203,9.1217008797654,6168.44721407625,-7.90322580645161,4350.22434017595,-0.137457850822581
"47","Westmont College","Public",950,713,351,42,1276,14320,5304,77,14.9,17,8837,87,0.700178462,"West",0.750526315789474,-2017.8137829912,15.1217008797654,4168.44721407625,-4.90322580645161,-518.775659824047,0.505899399177419
